final_cluster,negative,positive,time_label
권영국_김문수,0.5825465007902095,0.4174534992097904,1
김문수,0.4321766561514195,0.5678233438485805,1
부정선거_이준석,0.9896907216494846,0.0103092783505154,1
북한_이재명,1.0,0.0,1
사전투표_김문수,0.3662420382165605,0.6337579617834395,1
사전투표_이재명,0.4,0.6,1
사전투표_이준석,0.7142857142857143,0.2857142857142857,1
여론조사_이재명,0.9824561403508772,0.0175438596491228,1
이재명,0.974025974025974,0.0259740259740259,1
최저임금_김문수,0.3622881355932203,0.6377118644067796,1
한덕수_김문수,0.5005553087516659,0.499444691248334,1
검수완박_김문수,0.6189038550859266,0.3810961449140734,2
검수완박_이재명,1.0,0.0,2
검수완박_이준석,0.8333333333333334,0.1666666666666666,2
검찰개혁_이준석,0.9743589743589745,0.0256410256410256,2
김문수,0.6145769497895984,0.3854230502104016,2
사드_김문수,0.7068965517241379,0.293103448275862,2
사전투표_김문수,0.6190476190476191,0.3809523809523809,2
사전투표_이준석,1.0,0.0,2
여론조사_이재명,1.0,0.0,2
이재명,1.0,0.0,2
최저임금_김문수,0.4881889763779528,0.5118110236220472,2
특검_이준석,1.0,0.0,2
한덕수_김문수,0.6295766078522601,0.3704233921477399,2
개혁신당_김문수,0.6430991148508359,0.356900885149164,3
김문수,0.5181869054280918,0.4818130945719082,3
북한_이재명,1.0,0.0,3
사전투표_김문수,0.6329787234042553,0.3670212765957447,3
사전투표_이재명,0.4545454545454545,0.5454545454545454,3
사전투표_이준석,0.6666666666666666,0.3333333333333333,3
안보_이재명,0.9888888888888888,0.0111111111111111,3
이준석,0.9493670886075948,0.050632911392405,3
특검_이준석,1.0,0.0,3
