Title,Naverlink,Script,Date
"한국교회, 각 당 <b>대선</b> 후보에 ‘10대 기독교 정책’ 제안 나선다",https://n.news.naver.com/mnews/article/005/0001774280?sid=103,한국기독교공공정책협의회(기공협·대표회장 소강석 목사)가 오는 6월 3일로 예정된 제<b>21대</b> 대통령선거를 앞두고 각 당 <b>대선</b>후보들에게 교계의 목소리가 담긴 10가지 정책을 제안한다. 기공협은 지난 1일 서울 종로구...,"Tue, 06 May 2025 12:41:00 +0900"
"정준호, '경청 노트 캠페인' 첫 시동",https://n.news.naver.com/mnews/article/277/0005588042?sid=102,"더불어민주당 정준호 의원(광주 북구갑)이 제<b>21대</b> 대통령 선거의 핵심 기조인 '통합·경청·현장'을 실천하기... 민주당 <b>대선</b> 기조와도 맞닿아 있다. 정 의원은 &quot;<b>대선</b> 승리를 위해서는 지역 민심을 가장 먼저 듣고, 가장...","Tue, 06 May 2025 12:36:00 +0900"
"시민단체, ‘직장 여성 7대 공약’ 촉구…“성평등이 최우선 과제돼야”",https://n.news.naver.com/mnews/article/018/0006006270?sid=102,시민단체 사단법인 직장갑질119 내 젠더폭력특별위원회는 6일 “제<b>21대</b> 대통령 선거를 앞두고 여성... 김세정 직장갑질119 젠더폭력특별위원회 노무사는 “6·3 <b>대선</b>으로 들어설 정부는 성평등 실현이 민주주의 새 광장의...,"Tue, 06 May 2025 12:19:00 +0900"
&quot;이재명과 함께 위기 극복&quot;…민주당 대구시당 선대위 출범,https://n.news.naver.com/mnews/article/421/0008232987?sid=154,더불어민주당 대구시당이 6일 '6·3 <b>대선</b>' 선거대책위원회를 꾸리고 본격적인 선거 채비에 들어갔다. 민주당 대구시당은 이날 오전 중구 삼덕동 소재 시당 김대중 홀에서 제<b>21대</b> 대통령 선거 진짜 대한민국 대구시당 선대위...,"Tue, 06 May 2025 12:17:00 +0900"
최연숙 전 국민의힘 의원 &quot;대구 미래 위해 이재명과 함께하기로&quot;,https://n.news.naver.com/mnews/article/088/0000946034?sid=154,이번 6·3 <b>대선</b>에서 더불어민주당 대구시당 선거대책위원회를 이끌게 된 최연숙 전 국민의힘 의원이 &quot;저는... 2020년 제<b>21대</b> 국회의원 선거에서 국민의당 비례대표 1번으로 당선된 그는 국민의힘과 국민의당 합당 후엔...,"Tue, 06 May 2025 12:10:00 +0900"
&quot;주 52시간제도 지키기 힘든 판에 4.5일제는 무슨 얘기인지…&quot;,https://n.news.naver.com/mnews/article/011/0004481841?sid=101,"6일 정치권에 따르면 이재명 더불어민주당 <b>대선</b> 후보는 지난달 페이스북에 올린 ‘직장인 정책 발표문’을... 다만 김문수 국민의힘 <b>대선</b> 후보는 4.5일제의 취지에는 공감한다면서도, 일률적인 규제는 기업 자율성을...","Tue, 06 May 2025 12:01:00 +0900"
소방청 '6·3 <b>대선</b>' 투·개표소 화재안전대책 추진,https://n.news.naver.com/mnews/article/008/0005189983?sid=101,소방청은 다음달 3일 '제<b>21대</b> 대통령 선거'에 대비해 전국 1만4548개소 투·개표소를 대상으로 화재안전대책을 추진한다고 6일 밝혔다. 이번 대책은 사전투표소를 포함한 1만4295개 투표소와 253개 개표소에서 오는 23일까지...,"Tue, 06 May 2025 12:00:00 +0900"
"소방청, '6·3 <b>대선</b>' 투·개표소 1만4천여곳 대상 안전대책 추진",https://n.news.naver.com/mnews/article/001/0015371131?sid=100,소방청은 6월 3일 실시되는 '제<b>21대</b> 대통령 선거'에 대비해 오는 23일까지 전국 투·개표소 1만4천548곳을 대상으로 화재안전대책을 추진한다고 6일 밝혔다. 소방청은 자동화재탐지설비와 옥내소화전 등 소방시설 작동 여부...,"Tue, 06 May 2025 12:00:00 +0900"
"<b>21대 대선</b> 대비…소방청, 전국 투·개표소 화재안전조사",https://n.news.naver.com/mnews/article/003/0013224533?sid=100,소방청이 다음달 3일 제<b>21대</b> 대통령 선거에 대비해 이달 23일까지 전국 1만4583개 투·개표소를 대상으로 화재 안전 조사를 추진한다고 6일 밝혔다. 소방 당국은 조사를 통해 자동 화재 탐지 설비와 옥내소화전 등 소방시설...,"Tue, 06 May 2025 12:00:00 +0900"
&quot;결혼하면 자른다&quot; 성차별 만연한 직장…&quot;헌법부터 바꿔야&quot;,https://n.news.naver.com/mnews/article/421/0008232980?sid=102,&quot; 윤석열 전 대통령 파면 후 오는 6월 3일 치러질 조기 <b>대선</b>을 앞두고 여성 노동자의 권리 보장을 위한 공약을 요구하는 시민단체 목소리가 나왔다. 6일 시민단체 직장갑질119 젠더폭력특별위원회는 제<b>21대</b> 대통령 선거에...,"Tue, 06 May 2025 12:00:00 +0900"
&quot;제2광주사태&quot; &quot;법해석은 판사가&quot; 이재명 어록…盧는 &quot;법위에 후보 없다...,https://n.news.naver.com/mnews/article/029/0002952569?sid=154,"제<b>21대 대선</b>후보가 한덕수 무소속 예비후보(전 국무총리)의 '광주사태' 발언을 연일 맹렬히 공격한 가운데, 본인의 과거 '광주사태' 언급과 그 해명 내용까지 일각에서 재조명되고 있다. &quot;광주사태&quot; 발언을 거듭한 뒤...","Tue, 06 May 2025 11:59:00 +0900"
"민주 &quot;표적재판, 탄핵 사유&quot;...국민의힘 단일화 내홍",https://n.news.naver.com/mnews/article/052/0002189434?sid=154,"제<b>21대 대선</b>이 28일 앞으로 다가온 가운데, 민주당은 조희대 대법원장의 탄핵을 압박하며 이재명 후보 재판 대응에 당력을 모으고 있습니다. 후보 단일화를 두고 진통이 이어지고 있는 국민의힘은 이틀 연속 의원총회를...","Tue, 06 May 2025 11:55:00 +0900"
권영국 &quot;민주주의 불행 멈추려면 사회대전환·정치개혁&quot;,https://n.news.naver.com/mnews/article/003/0013224519?sid=102,권영국 민주노동당 대선후보가 <b>21대 대선</b> 출마를 선언하며 &quot;사회대전환과 정치개혁을 이뤄내는 것만이 민주주의의 불행을 멈추는 길&quot;이라고 했다. 권 후보는 6일 오전 광주 북구 운정동 국립5·18민주묘지를 찾아 오월...,"Tue, 06 May 2025 11:49:00 +0900"
"순천시, 미래첨단국가산단 조성 등 18개 <b>대선</b>공약 제안",https://n.news.naver.com/mnews/article/002/0002386965?sid=102,경전선 전철화·여자만 국가해양생태공원 등 건의 전남 순천시(시장 노관규)는 제<b>21대</b> 대통령 선거를 앞두고... 내용이 <b>대선</b>공약에 반드시 반영돼서 지방소멸 위기를 극복하고 국가균형발전과 미래 신성장동력을 이끌...,"Tue, 06 May 2025 11:48:00 +0900"
