video_id,video_title,channel,views,video_likes,comment,comment_likes,reply_1,reply_1_likes
CSqSZFQg46M,‘출마 선언문’과 정반대로 간 윤석열의 ‘대선 행보’ 4개월 [#논썰｜EP.56],한겨레TV,148856,10265,"잘보면, 마음에 거치관도 없는 말을 할때마다 윤두환은 도리도리 심하게 한다👎👎👎👎👎👎👎👎👎👎👎👎👎",1,,
CSqSZFQg46M,‘출마 선언문’과 정반대로 간 윤석열의 ‘대선 행보’ 4개월 [#논썰｜EP.56],한겨레TV,148856,10265,"고발장 사주를 대장동으로 물타기한건 너희 국짐당인데, 이젠 징계 정당성의 사법부 판단이 정치적 물타기란다고 멍 멍 멍 똥개가 짓네👎👎👎👎👎👎👎👎👎👎👎👎",1,,
CSqSZFQg46M,‘출마 선언문’과 정반대로 간 윤석열의 ‘대선 행보’ 4개월 [#논썰｜EP.56],한겨레TV,148856,10265,"검찰도 썩어버린 뿌리를 뽑아내고,
  기레기 언론들도 싹다 없애야합니다.",1,,
W14leXhkjGw,"“‘이준석 가출’...‘윤핵관 자리욕심’...‘본인 망언’... 윤석열, 대선 힘들다” [공덕포차 시즌3 ep.12 엑기스]",한겨레TV,641907,15384,"윤석렬 후보님의 실언 또는 망언은 
한두번은 실수이고 실언·망언일 수 있지만, 계속된다는 것은 본인의 생각과 실력이고, 뿌리박혀 있는 철학인 것이다. 
그 정도의 인물을 후보로 선택한 국힘당은
포장하느라 애를 쓰지만,  그 결과는 명약관화 뻔하지 않을까요 ~~~ ~ ~ ?????",18,,
W14leXhkjGw,"“‘이준석 가출’...‘윤핵관 자리욕심’...‘본인 망언’... 윤석열, 대선 힘들다” [공덕포차 시즌3 ep.12 엑기스]",한겨레TV,641907,15384,윤짜장은 대선 당선은 물건너 갖고 끝까지 개기다 대선후보로 출마해서 당당히 2등 (?)했다고 국민의짐당 차기 당대표로 등극 시나리오 ?,1,,
W14leXhkjGw,"“‘이준석 가출’...‘윤핵관 자리욕심’...‘본인 망언’... 윤석열, 대선 힘들다” [공덕포차 시즌3 ep.12 엑기스]",한겨레TV,641907,15384,이재명 지지하는 얼간이들~~조폭이 대통령 웃기지않나~~제정신이가~~정권교체한다,1,,
7Wk2GqvojMY,"대선 ‘큰손’ 떠오른 ‘이대남’, 너는 누구냐? [#논썰｜EP.69]",한겨레TV,12987,462,"현재 25세입니다. 이 영상을 한 줄로 요약하자면 20대 남성이라는 집단을 바라보는 민주당~정의당 사이의 정치 이념을 가진 40~50대 남성의 색안경을 설명하는 영상이지, 20대 남성을 중립적인 관점에서 날 것 그대로 분석하는 영상으로 보긴 어렵습니다. 

'한겨레의 진보 진영을 지지하는 4050 남성 집필진이 생각하는 20대 남성'이라는 제목이 영상을 더 잘 설명할 것 같습니다.",110,"이런거 보면 한겨례 586들 평생 정신못차림 첨엔 지들이 앞장서서 젠더갈등 부추기고 그다음 이대남 영향력 부정하더만 이제와선 다시 꼰머잣대 ㅋㅋㅋ 여야를 막론하고 집단갈등 없는 선거가 있었나 지들도 노년층 고립전략 여태 잘써먹어놓곤 내로남불ㅋㅋㅋ

김성회도 고개 절래절래하더만 지들이 젠틀하고 멋있는 줄 아는 세대라고ㅋㅋ",17
7Wk2GqvojMY,"대선 ‘큰손’ 떠오른 ‘이대남’, 너는 누구냐? [#논썰｜EP.69]",한겨레TV,12987,462,"논설위원님 세대와 그 윗세대들은 여자가 공부를 왜 하냐 시집이나 잘가지 , 여직원에게 커피심부름이나 시키던 세대인데 그 세대가 20대남자들에게 여혐을 논하는것 너무 좀스럽고 민망하지 않습니까?",61,@@머스타드-k6y 지금 2030남자들(8090년대생)은 그나마 어릴때 여자한테양보해야한다져줘야한다 그게 남자다운거고 남자가 쪼잔하거나쩨쩨하면안된다는 어른들의 무지성적세뇌속에서 자라오는바람에 그나마반페미순한맛이지 지금10대(00년대생)남자애들은 그딴거없고 반페미매운맛이라학교에서 페미걸렸다싶으면 존나게 후두려패는 노빠꾸세대임 ㅋㅋㅋㅋ 장차 얘들의투표가기대된다,10
7Wk2GqvojMY,"대선 ‘큰손’ 떠오른 ‘이대남’, 너는 누구냐? [#논썰｜EP.69]",한겨레TV,12987,462,이렇게 가르치려는 태도가 민주당이 망하는 이유임ㅋㅋㅋㅋㅋㅋ,54,,
CKPdKdZnK6Q,대선 막판 ‘뇌관’ 터진 김건희 주가조작 의혹 [#논썰｜EP.72],한겨레TV,39377,2371,이런 진실을 국민들이 알지 못한다는게 답답합니다좋은 정보 주셔서 감사합니다 검찰왕국을 막아야 합니다,41,,
