url,댓글 수,댓글
https://n.news.naver.com/mnews/article/055/0001256436?sid=154,0,[]
https://n.news.naver.com/mnews/article/001/0015377985?sid=100,2,"['무슨짓을 해도 이재명 대통령!!!!', '2개정권 거치며 온갖 수모 견디며 .여소야대\\n 이룬 이재명후보,,흙수저 정치인 이재명이 대통령이다 !! 조직장악력,뛰어난리드쉅  이재명. 역사는 이재명 대통령을 만들고있다 !!!\\n.부페한기득권층들의 쑈에 국민은 깨어났고.\\n 6월3일,,민심의 선택은 70%득표 ,,이재명이다!! 6월4일,, 이재명 표 사회정화운동 시작된다!! 국민은 기대한다 !! 기득권횡포를 벚아나는가? 아니면 또 ? 돼지처럼 살아야하는가,\\n .이재명 대통령의 시대,, 이제 다왔다!\\n .힘내자 !!']"
https://n.news.naver.com/mnews/article/021/0002708413?sid=154,3,"['사법부와 수사기관 겁박은 삼권분립과 법치를 흔드는 패악질이다. 정당 해산 사유다.. 이주호 대행은 즉각 민주당에 대한 위헌정당심판청구에 나서길 바란다.', '탄핵안 접수에 따른 헌재의 사전 심의에 의한 반려 절차가 없는 건가?탄핵안을 제출하면 헌재에서  무조건 접수 진행이 되는건가? 일반국민이 제출 해도??????', '극우 찌라시 문화일보가 이재명 죽이기에 올인했나본데..  떠들 수 있을때 맘껏 떠드시라..']"
https://n.news.naver.com/mnews/article/277/0005589917?sid=100,2,"['전광훈 목사님을 당대표로 대통령 후보로 추대하고 빨아대자', '이럴거면 후보내지마']"
https://n.news.naver.com/mnews/article/003/0013231232?sid=102,0,[]
https://n.news.naver.com/mnews/article/032/0003368446?sid=100,8,"['잘한다.민주!', '이재명은 압도적 표차이로 당선되어 행정부와 입법부가 똘똘 뭉쳐서 대한민국의 공정과 정의 상식을 밥먹듯이 파괴한 국짐과 검새와 판새 그리고 거기에 줄 선 뇌가 썩은 국짐쫄개들과 개독교와 무당 일당들을 일거에 박멸하고... 서민들이 먹고 사는 문제로 고통받지 않도록 최선을 다하여야 한다.', '국민 갈라치기를 없애는 무난한 선택으로 보입니다', '겨우, 애국가만 외우는 수준인데? 가사 다운 받고 외워야겠네요ᆢ^^ 그래도 즐거움', '내사 추천하나 해줄께 ! 윤시내의 그대에게서 벗어나고파 ! 개사 조금만하면 50-70 대애게 충분히 어필된다. 리듬 좋고 가사좋고 !!', '아파트 개사하면 드럼통 드럼통 드럼통 드럼통~ 이건가?', '전과자 송 도 하 나 만들 그래 ᆢ', '좌익들의 특징: 거짓, 조작, 사기, 음모, 권모술수, 고소와 탄핵, 뒤집어씨우기, 남의 것 빼앗기, 수단과 방법을 가리지 않음,  선동.... 그리고 인민 재판!']"
https://n.news.naver.com/mnews/article/421/0008239969?sid=154,0,[]
https://n.news.naver.com/mnews/article/421/0008239959?sid=154,0,[]
https://n.news.naver.com/mnews/article/421/0008239960?sid=154,0,[]
https://n.news.naver.com/mnews/article/421/0008239961?sid=154,0,[]
https://n.news.naver.com/mnews/article/056/0011947993?sid=154,0,[]
https://n.news.naver.com/mnews/article/421/0008239941?sid=154,0,[]
https://n.news.naver.com/mnews/article/421/0008239936?sid=154,0,[]
https://n.news.naver.com/mnews/article/421/0008239930?sid=154,0,[]
https://n.news.naver.com/mnews/article/421/0008239932?sid=154,0,[]
https://n.news.naver.com/mnews/article/018/0006008902?sid=154,0,[]
https://n.news.naver.com/mnews/article/421/0008239926?sid=154,0,[]
https://n.news.naver.com/mnews/article/421/0008239927?sid=154,1,['코스피 5000가즈아']
https://n.news.naver.com/mnews/article/421/0008239918?sid=154,0,[]
https://n.news.naver.com/mnews/article/421/0008239919?sid=154,0,[]
https://n.news.naver.com/mnews/article/421/0008239911?sid=154,0,[]
https://n.news.naver.com/mnews/article/009/0005489535?sid=154,0,[]
https://n.news.naver.com/mnews/article/002/0002387495?sid=102,0,[]
https://n.news.naver.com/mnews/article/005/0001775077?sid=100,1,"[""애들아, 아직 대진표도 확정 안 됐다. 요즘 재명이 설치고 나대며 혼자 북치고 장구치고 다하느라 고생한다만 '승부는 9회말 투아웃부터'라는 말이 있고, '비온뒤 땅이 굳어지는 법'이란 말도 있잖냐? 어차피 너도나도 똑같은 한표! 본업에 충실하다 때 되면 투표소에 가서 투표하면 그만이잖냐! 재명이가 대통령이 된들 너희들이 총리, 장관되는 것도 아닌데 정치 따위에 자존심 걸고 일희일비 말아라! 남은 거라곤 빚투성이 무능한 몸뚱아리와 투표권뿐인 인생폐인들이 마지막에 대리만족감에 유일하게 우월감 과시하고 존재감 확인하는 게 바로 정치란다!""]"
https://n.news.naver.com/mnews/article/081/0003539990?sid=102,2,"['', '사과가 아니라 후보사퇴 해야지']"
