url,댓글 수,댓글
https://n.news.naver.com/mnews/article/025/0003176941?sid=100,20,"이재명 후보의 표 얻기 위한 술수에 불가. 박근혜를 존중 존경한다더만 나중에 다시 물으니 내가 진짜 존경하는줄 아느냐고? 조롱한 사람이다. 싫으면 차라리 말을 하지를 말던지. 박정희 대통령, 노무현, 김대중 대통령 표 얻을때만 이용하는 전형적인 사기꾼 비스무리한 사람 같이보인다."
https://n.news.naver.com/mnews/article/025/0003176941?sid=100,20,"거짓말 초밥먹듯이 합니다.경북에서 박정희 호감팔이,호남에서 박정희땜에 지역감정,호남 못산다고 욕하고 다니고  참 나쁘다."
https://n.news.naver.com/mnews/article/025/0003176941?sid=100,20,야 ㅋ 박정희? 이순신 ? 진짜 표뚝뚝 떨어지는 소리들린다 찢재명아
https://n.news.naver.com/mnews/article/025/0003176941?sid=100,20,
https://n.news.naver.com/mnews/article/025/0003176941?sid=100,20,이재명은  푸틴과 아주 많이  닮았다  살인하고 도둑질하고  여성편력적이고 무지막지하고 교활하고  악마같은 놈이다
https://n.news.naver.com/mnews/article/025/0003176941?sid=100,20,달면 삼키고 쓰면 밷고.
https://n.news.naver.com/mnews/article/025/0003176941?sid=100,20,"우크라이나에 특별히 감정있는건 아니지만, 민간인만 백명이 넘게 사망하고 침략전쟁으로 피해를 보고있는 국가한테 “니들이 당하는건 니들이 자극해서 당하는거다” 라고 표현하는 인간이하의 후보는 절대 지지하지 않습니다"
https://n.news.naver.com/mnews/article/025/0003176941?sid=100,20,유세현장  어딜가든 맨날 똑같은 얼굴들만 보임. ㅎㅎ
https://n.news.naver.com/mnews/article/025/0003176941?sid=100,20,문재인보다 나쁜 정부는 없다.
https://n.news.naver.com/mnews/article/025/0003176941?sid=100,20,도적놈이 어디서 감히.
https://n.news.naver.com/mnews/article/025/0003176941?sid=100,20,"이죄명이 뭘 추진했는데! 유원지 식당 철거!  남양주시장 조광한이 이 전략 발표하니, 이죄명이 오호 좋은 아이디어 하면서 빼앗아서 마치 이죄명의 생각인거처럼 유원지 훼집고 다녔다고! 이죄명이 서민편! 대장동에 일정세대 임대아파트 지어야 되는데,이죄명이 임대 못짓게 했다고 안 남는다고! 사람은 속과겉이 같은지 봐야 됩니다!"
https://n.news.naver.com/mnews/article/025/0003176941?sid=100,20,"이제와서 표구걸위해  욕하고 지랄해대던
박정희까지 소환하는걸보니 역시 사기꾼이네"
https://n.news.naver.com/mnews/article/025/0003176941?sid=100,20,이런 가이 시끼 ᆢ 누구늘 비교하려고 ᆢ쓰레기 같은ㅈ넘
https://n.news.naver.com/mnews/article/025/0003176941?sid=100,20,살기위해 이재명 시사돼지 김용민 생각
https://n.news.naver.com/mnews/article/629/0000135263?sid=101,6,진짜 너무 고달프다 사는게... 안오른걸 찾아보기 힘든듯
https://n.news.naver.com/mnews/article/629/0000135263?sid=101,6,북한 주민들 봐봐.  공산당 생활3년이면 저절로 개돼지처럼 복종하고 산다는 실험결과를 증명이라도 하듯. 몇십년째 개돼지처럼 살고 있잔어??    대항민국도 문제인5년 겪으면서 똑같아졌어.  ㅋㅋㅋ
https://n.news.naver.com/mnews/article/629/0000135263?sid=101,6,지들만힘들다고 가격올림
https://n.news.naver.com/mnews/article/629/0000135263?sid=101,6,
https://n.news.naver.com/mnews/article/629/0000135263?sid=101,6,커로나지원금 자영업자들한테 열시미 퍼주고 물가인상된 건 전국민부담
https://n.news.naver.com/mnews/article/629/0000135263?sid=101,6,임금 쥐꼬리 올리고 18 안오른게 없으니. 올리나마나 개뿔
https://n.news.naver.com/mnews/article/082/0001143685?sid=100,20,조작질할지 모르니 사전투표하지 말자. 중국애들 동원해서 표 바꿔치기 한다.
https://n.news.naver.com/mnews/article/082/0001143685?sid=100,20,"⭕3월9일 투표 요령

1) 사전투표는 절대 안한다(No!)  부정선거 방지 

2) 당일투표는 반드시 한다(Yes!)

3)  기표하기 전에 반드시 투표용지를 5~6회 이상 먼저 접는다(많이 접을수록 좋음) 

4) 다시 펴서 자기가 선택한 후보에게 정확히 기표하고 접어서 투표함에 넣는다

 5)구겨진 투표용지는 ""자동분류기""에 넣을 수 없기 때문에 수(手)개표로 계수합니다.

6) 본인이 선택한 후보를 확실하게 지켜낼 수 있는 유일한 방법입니다 

7)  빨리 15명 이상의 
지인들에게  전달하시기 바랍니다"
https://n.news.naver.com/mnews/article/082/0001143685?sid=100,20,아진짜 부정선거 막아야 한다 민주당 이번에 지면 진짜 다 극단적인 선택을 할수도 있을 정도로 범죄가 심각하다 별짓을 다할거다 선관위 감시 제대로하자 선거기계들도 폐기처분 못하게 하고 저번처럼 어이가 없어서 증거인멸하는것도 아니고
https://n.news.naver.com/mnews/article/082/0001143685?sid=100,20,선관위가 사전선거 표 바꿔치기한다
https://n.news.naver.com/mnews/article/082/0001143685?sid=100,20,어떤일이ㅇ생겨도 꼭 투표해서 정권 교체 한다
https://n.news.naver.com/mnews/article/082/0001143685?sid=100,20,사전투표는 진짜 아닙니다 여러분 !!!!!!!!! 또 조작질당해요 제발 ㅠㅠㅠㅠㅠ 당일날 투표합시다!!!!!!! 투표하지말란 얘기다 아니라 당일날 합시다 ~ 유튜브만 봐도 확실한 빼박증거들 많아요~~
https://n.news.naver.com/mnews/article/082/0001143685?sid=100,20,
https://n.news.naver.com/mnews/article/082/0001143685?sid=100,20,
https://n.news.naver.com/mnews/article/082/0001143685?sid=100,20,
https://n.news.naver.com/mnews/article/082/0001143685?sid=100,20,
https://n.news.naver.com/mnews/article/082/0001143685?sid=100,20,당일투표 정권교체 멸공멸공
https://n.news.naver.com/mnews/article/082/0001143685?sid=100,20,
https://n.news.naver.com/mnews/article/082/0001143685?sid=100,20,"사전투표?
더듬당 부정선거전문아닌교"
https://n.news.naver.com/mnews/article/082/0001143685?sid=100,20,사전투표보다 당일투표!!!
https://n.news.naver.com/mnews/article/082/0001143685?sid=100,20,
https://n.news.naver.com/mnews/article/082/0001143685?sid=100,20,
https://n.news.naver.com/mnews/article/082/0001143685?sid=100,20,"뭔 예측불허야ㅎㅎㅎㅎㅎ
예측은 이미 이재명으로 된건데 행복회로 쳐 돌리고 자빠졌으니ㅎㅎㅎㅎㅎㅎㅎㅎ
10닥 거리지말고
20대 대통령은 이재명임 ㅎ"
https://n.news.naver.com/mnews/article/082/0001143685?sid=100,20,
https://n.news.naver.com/mnews/article/082/0001143685?sid=100,20,
https://n.news.naver.com/mnews/article/082/0001143685?sid=100,20,글쎄~부정만 없으면 예측이 충분히 되는데 그놈의 부정이 문제지.
https://n.news.naver.com/mnews/article/629/0000135257?sid=100,20,
https://n.news.naver.com/mnews/article/629/0000135257?sid=100,20,우크라 사태에서도 러시아 제재 망설이다가 동맹국들로부터도 배제당하고 러시아한테도 협박당하는거 보고 윤석열 뽑기로 마음먹었다
https://n.news.naver.com/mnews/article/629/0000135257?sid=100,20,"힘에 의해 평화가 유지되는 거 맞음. 저렇게 우크라이나가 키예프에서 미사일 맞고도 끝까지 버티면서 결사항전하닌깐 러시아도 장기화되면 손해볼까봐 협상해보자고 한 거지, 버틸 힘도 없었으면 협상은 무슨 다 점령당하고 개죽음이지. 뭐"
https://n.news.naver.com/mnews/article/629/0000135257?sid=100,20,"대한민국 헌법 제66조 ① 대통령은 국가의 원수이며, 외국에 대하여 국가를 대표한다.② 대통령은 국가의 독립·영토의 보전·국가의 계속성과 헌법을 수호할 책무를 진다. ③ 대통령은 조국의 평화적 통일을 위한 성실한 의무를 진다. ④ 행정권은 대통령을 수반으로 하는 정부에 속해 있다. // 민주건달은 말만 인권 챙기지 홍콩민주화운동 신장위구르 티벳 인권 탄압 등은 철저히 외면했고 우크라이나가 러시아에 침공을 자초했다고 했지.  다 죽고 이기면 뭐하냐는 죄명아. 헌법 66조2항은 니 할일이 아닌거냐? 전쟁나면 세월호 선장처람 먼저 튈 놈"
https://n.news.naver.com/mnews/article/629/0000135257?sid=100,20,
https://n.news.naver.com/mnews/article/629/0000135257?sid=100,20,리죄명 빨갱이가 무슨 안보 대통령이냐. 말 같지도 않는 🐕소리
https://n.news.naver.com/mnews/article/629/0000135257?sid=100,20,이재명이는 믿음이 안간다.  툭하면 말 바꾸고. 유시시 김정은이한테 국민이 전쟁을 원하지 않는다면서 나라를 통채로 상납할것 같음.
https://n.news.naver.com/mnews/article/629/0000135257?sid=100,20,"살아있는 권력에 당당히 맞서는 소신있는 윤석열!!!
안보관이 확실한 윤석열!! 대한민국을 바로세울 사람은
윤석열 입니다!!!"
https://n.news.naver.com/mnews/article/629/0000135257?sid=100,20,이재명은 북한 미사일 좋아함.문재인도 북한 이 소대가리라 해도 입쳐닫고.돈이나 갖다바치고
https://n.news.naver.com/mnews/article/629/0000135257?sid=100,20,
https://n.news.naver.com/mnews/article/629/0000135257?sid=100,20,
https://n.news.naver.com/mnews/article/629/0000135257?sid=100,20,
https://n.news.naver.com/mnews/article/629/0000135257?sid=100,20,말로안 평화는 대로남불. 힘없으면  언제든 주변에서 넘본다. 특히 핵을가진깅정은 우리에게 늘 큰소리친다. 대통령을 삶은소대가리 우리는 자존심도없나. 멸공.
https://n.news.naver.com/mnews/article/629/0000135257?sid=100,20,
https://n.news.naver.com/mnews/article/629/0000135257?sid=100,20,군대도 안간 두 얼간이들이 군복입고 쇼하는 작태를 봐라. 이 나라에 망조가 들은 모양이다.
https://n.news.naver.com/mnews/article/629/0000135257?sid=100,20,댓글 부대 활동 참 열심히들하네. .
https://n.news.naver.com/mnews/article/629/0000135257?sid=100,20,군대도 안갔다온 것들이 입만 살아가지고ㅋ안보?  누가낫네 내가 낫네? 쳐웃기고있어 댓글 쓰는 니네도 반성해라 쟤들은 전쟁나면 다 도망간다 바보들아ㅋㅋ
https://n.news.naver.com/mnews/article/629/0000135257?sid=100,20,둘 다 군대도 안 가봤잖음.
https://n.news.naver.com/mnews/article/629/0000135257?sid=100,20,
https://n.news.naver.com/mnews/article/629/0000135257?sid=100,20,
https://n.news.naver.com/mnews/article/119/0002580532?sid=100,20,정치보복도 몰 래~~ 무상연애도 몰래~ 카드깡도 몰래~~초밥도 몰래~~ 대장동도 몰래~~
https://n.news.naver.com/mnews/article/119/0002580532?sid=100,20,"워낙에 천골 출신이라 입은 거칠고 행실은 난폭하고 사고는 사악하기 짝이 없어서, 그럴리도 없고 그리 되어서도 안 되지만 저 작자가 대통령이 된다면 전형적인 폭군 스타일로  정치보복 하고도 남을 인간임!"
